fips,county_name,State,total_pop_18plus,prop_white,prop_foreign_born,median_age,median_income,median_rent,prop_less_than_hs,prop_bachelor_above,prop_unemployed,prop_nilf,prop_health_insurance,prop_low_ratio_ip
17041,Douglas County,   IL,14710,0.957651735,0.044323589,37.8,56714,724,0.16777244,0.188591474,0.025340492,0.351165532,0.853473079,0.151155898
17043,DuPage County,   IL,716576,0.768203345,0.234195675,39.3,92809,1316,0.069976702,0.493870372,0.028071863,0.309130059,0.947158999,0.067494564
17045,Edgar County,   IL,13878,0.98879761,0.009151175,45.2,53647,611,0.099249309,0.172421968,0.031210899,0.397539274,0.95063964,0.123394317
17047,Edwards County,   IL,4956,0.968241673,0.005044391,43.5,51080,495,0.080159433,0.139061116,0.031550596,0.404963447,0.937616677,0.109262341
17049,Effingham County,   IL,26043,0.970442628,0.023653189,39.4,56685,650,0.069378502,0.227212456,0.018254824,0.33914563,0.953487683,0.11191021
17051,Fayette County,   IL,17111,0.938789706,0.013149436,41.9,46650,612,0.16199438,0.112853689,0.029778786,0.473340896,0.917585723,0.178780442
17053,Ford County,   IL,10253,0.950263753,0.012776748,43.4,52092,676,0.09561753,0.213524281,0.028020686,0.378749412,0.950357365,0.142937694
17055,Franklin County,   IL,30305,0.968990057,0.010691305,42.8,42769,637,0.110695071,0.167333139,0.040983607,0.452996926,0.936937406,0.222492648
17057,Fulton County,   IL,28130,0.940442266,0.0139353,43.2,51643,646,0.113508627,0.175568919,0.035241835,0.447188921,0.93805663,0.14703217
17059,Gallatin County,   IL,4026,0.965244866,0.005712866,45.6,44076,439,0.130939525,0.108531317,0.025350072,0.461854177,0.970379147,0.219787517
17061,Greene County,   IL,10403,0.968854706,0.006248198,42.5,49885,638,0.094151671,0.127999143,0.01486474,0.417043671,0.941007082,0.131418093
17063,Grundy County,   IL,37785,0.933091225,0.049358211,37.9,77350,999,0.067933014,0.229481034,0.028033814,0.325889902,0.962993862,0.083047945
17065,Hamilton County,   IL,6364,0.99241683,0.008642363,43.6,54046,609,0.128670121,0.170466321,0.016679303,0.441546626,0.946049383,0.100676819
17067,Hancock County,   IL,14193,0.973808597,0.015148313,46,52561,617,0.065616798,0.210128146,0.033055593,0.408687338,0.969523167,0.137330363
17069,Hardin County,   IL,3263,0.95557248,0.004596997,46.8,51250,401,0.203610832,0.107656302,0.061455847,0.547732697,0.918771153,0.103336921
17071,Henderson County,   IL,5551,0.97620796,0.013150784,50,53676,558,0.088061466,0.183018125,0.033491145,0.388567421,0.94196032,0.102691924
17073,Henry County,   IL,38250,0.940041001,0.025385621,43.1,59933,679,0.087956268,0.232949615,0.027645232,0.390795021,0.954643762,0.101899955
17075,Iroquois County,   IL,21740,0.925715518,0.038822447,44.4,52700,686,0.105142915,0.158856679,0.02992308,0.396647548,0.941896136,0.136476427
17077,Jackson County,   IL,47331,0.762509271,0.061735438,31.9,37241,691,0.081045602,0.341162034,0.048298437,0.437547609,0.936257615,0.211760873
17079,Jasper County,   IL,7368,0.972795497,0.008550489,43.1,54256,578,0.102277803,0.165698973,0.030179766,0.392730613,0.93390684,0.138671069
17081,Jefferson County,   IL,29543,0.873028827,0.023829672,40.9,49896,701,0.125717739,0.179434875,0.040864673,0.429605501,0.941019669,0.169622834
