Recip_County,Recip_State,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
Logan County,WV,16929,66.5,25443
Jackson County,IA,9825,64.9,15141
Champaign County,OH,17223,57,30220
Juneau County,WI,13669,64,21357
Jackson County,FL,19953,53,37647
Greenwood County,KS,2923,62.4,4682
Macon County,GA,5348,50.7,10551
Kay County,OK,18124,55.4,32688
Pender County,NC,32333,65.9,49058
Monroe County,MO,3808,56.2,6780
Lexington city,VA,2779,43,6468
Sullivan County,NH,25621,72.9,35124
Gray County,KS,2613,61.3,4265
Winnebago County,IA,5240,64.7,8102
Benton County,WA,106432,70.9,150118
Rabun County,GA,7800,54.6,14298
Pima County,AZ,686548,82.5,831972
Brown County,IN,7612,61,12486
Carroll County,KY,4675,59.2,7893
San Benito County,CA,36854,78.7,46822
Pope County,AR,29842,60.2,49561
Hartley County,TX,2559,58,4412
Lewis County,TN,4296,44.8,9579
Walker County,GA,28840,52.7,54746
Morris County,KS,2910,65.3,4453
Morehouse Parish,LA,10960,58.1,18848
James City County,VA,40862,66.5,61414
Travis County,TX,797990,79.5,1003575
Union County,IN,3558,63.7,5588
Washington County,VT,24950,52.4,47619
Berkeley County,SC,111341,64.1,173748
Schuylkill County,PA,82490,72.6,113561
Smith County,MS,5222,42.6,12265
Crosby County,TX,2324,54.8,4242
Oldham County,TX,707,43.7,1618
Hancock County,OH,36370,61.6,59054
Santa Clara County,CA,1457001,95,1511937
Orange County,TX,29136,46.4,62744
Williamson County,IL,35241,67.6,52143
Boone County,IN,42427,84.5,50221
McLean County,ND,4343,58.9,7372
Marion County,IN,511530,70.3,727665
Boise County,ID,2622,40,6551
Burke County,NC,43201,58.5,73860
Aguas Buenas Municipio,PR,16504,81,20374
Indiana County,PA,37765,54.7,69004
Nicollet County,MN,19055,71.2,26751
Miller County,GA,2992,67.8,4410
Gwinnett County,GA,470659,68.5,687242
Solano County,CA,280077,80.2,349187
Ogle County,IL,27045,68.7,39358
Cabell County,WV,52011,70.4,73869
Wayne County,KY,8362,51.6,16211
Lawrence County,SD,15016,70.4,21319
Guanica Municipio,PR,9927,79.7,12461
Brown County,SD,21203,71.5,29634
Perry County,IL,10279,60.9,16866
Guaynabo Municipio,PR,67563,95,70890
Louisa County,VA,14865,49.5,30050
Kerr County,TX,25829,60.6,42636
Attala County,MS,9320,68.3,13642
Fannin County,TX,15364,54.9,28000
Pendleton County,WV,4028,70.6,5702
