Recip_County,Recip_State,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
Augusta County,VA,35053,57,61550
Rockingham County,VA,33358,52,64120
Whitman County,WA,22520,52.9,42587
Troup County,GA,24711,46.7,52959
Benson County,ND,3081,69.5,4430
Chaves County,NM,27207,56.9,47845
Huerfano County,CO,3694,63.8,5787
Leon County,TX,6146,45.5,13514
Tallapoosa County,AL,15231,47.4,32134
Oliver County,ND,491,33.5,1464
Livingston Parish,LA,53298,50.8,104908
Runnels County,TX,4316,54.7,7885
Iron County,UT,23530,60,39249
Vinton County,OH,4895,47.8,10245
Merced County,CA,113247,57.6,196451
Moody County,SD,3108,64.3,4831
Yuma County,CO,4183,57.5,7274
Garrett County,MD,14508,61.3,23685
Bartow County,GA,38619,47.1,82047
Powhatan County,VA,10887,44.8,24280
Waldo County,ME,26870,82.7,32498
Franklin County,NC,36307,66.6,54524
Jackson County,KY,4756,46,10337
Hillsborough County,NH,242166,72.7,332922
Yukon-Koyukuk Census Area,AK,3425,90.8,3771
Lincoln County,OR,33749,80.9,41738
Chowan County,NC,8063,72.2,11164
Pierce County,ND,1713,55.8,3070
Montgomery County,IN,16911,57,29643
Delaware County,IA,8881,68.3,12996
Manassas city,VA,18573,61.8,30062
Morgan County,KY,6131,56.1,10935
Utuado Municipio,PR,18279,81.4,22451
Dundy County,NE,644,46.4,1387
Mitchell County,NC,7608,62.2,12229
New Haven County,CT,620022,90.7,683540
Effingham County,IL,15949,61.7,25870
Howard County,TX,13449,46.9,28652
Benewah County,ID,4867,67.2,7245
Skamania County,WA,4468,45.3,9867
Bladen County,NC,19621,75.2,26077
Clinton County,IN,14975,62.5,23948
Blue Earth County,MN,37775,69.7,54177
Allen Parish,LA,9153,46,19893
Carbon County,MT,4985,56,8905
Kittson County,MN,2436,72.7,3351
San Joaquin County,CA,370987,66.5,557577
Brown County,MN,15225,77.9,19556
Stephens County,OK,20019,60.3,33209
Marion County,AL,10691,45.4,23539
Bell County,KY,11697,56.9,20570
Washington County,CO,1519,39.9,3811
Kootenai County,ID,74030,57.7,128218
Platte County,MO,53819,67.3,79950
Marshall County,MN,4385,60.9,7196
Ward County,ND,32955,63.9,51571
Poweshiek County,IA,10377,69.7,14884
Camden County,GA,29405,70.9,41483
Charles Mix County,SD,5068,77.7,6520
Hardin County,OH,11669,48.4,24089
Emmet County,IA,4673,63.7,7337
Blaine County,MT,4678,95,4708
Toa Baja Municipio,PR,50969,83.6,60939
Cotton County,OK,2708,61.4,4411
Wood County,WV,47655,72.1,66061
Boyd County,KY,22134,60.2,36764
Douglas County,GA,62714,57.7,108767
Adams County,WA,10828,84.5,12814
Glasscock County,TX,590,56.1,1051
Aiken County,SC,76568,57,134333
Douglas County,MO,3145,30.6,10276
Ziebach County,SD,831,41.6,1997
Lafayette County,FL,3236,48,6744
Jay County,IN,7851,51.4,15280
Mendocino County,CA,54873,80.2,68430
Sussex County,NJ,83833,74,113243
Gaines County,TX,4373,31.8,13730
Columbia County,NY,41744,84.5,49375
Crook County,OR,12210,62.4,19581
Putnam County,WV,30546,69.3,44070
Logan County,KS,1266,59.7,2120
Cache County,UT,65678,73.2,89683
Gloucester County,NJ,166610,72.9,228537
Buchanan County,MO,32513,47.9,67817
Carroll County,IL,9241,80,11549
Pontotoc County,MS,12875,54.3,23698
Cidra Municipio,PR,26187,84.2,31103
Torrance County,NM,7030,57,12333
Tift County,GA,15461,50.5,30600
Washington County,NC,5772,62.2,9274
Laurel County,KY,23512,50.3,46755
Boone County,MO,104786,72.9,143733
Imperial County,CA,142829,95,129615
Tyler County,WV,3516,50.7,6932
Pecos County,TX,8247,69.1,11942
Talbot County,GA,2898,55.9,5186
Burke County,ND,837,52.6,1591
Butts County,GA,8341,42.1,19833
Audrain County,MO,9408,47.8,19666
Miami County,KS,15431,59.7,25868
Evangeline Parish,LA,12268,48.9,25073
Taney County,MO,21853,49.4,44243
Jones County,SD,647,91.4,708
Marion County,MS,10856,57.3,18960
Ritchie County,WV,4607,60,7679
Seminole County,FL,266731,71.4,373628
Nicholas County,KY,3660,66.4,5510
Rensselaer County,NY,103537,80.8,128075
Dorchester County,MD,18281,72.5,25219
Lauderdale County,AL,42548,57,74683
Brazoria County,TX,194259,70.2,276544
Onondaga County,NY,308407,84.9,363436
Los Alamos County,NM,14548,95,15103
Cumberland County,IL,4126,49.3,8371
Buchanan County,VA,9680,55.7,17365
Grant County,ND,537,29.7,1809
Ellis County,OK,1341,45,2981
Woodbury County,IA,54784,71.7,76401
Dodge County,GA,7019,42.2,16643
Williamson County,TN,140297,80.4,174480
Dare County,NC,28839,95,30088
Cleveland County,OK,151400,67.7,223796
Greene County,TN,30788,55.2,55761
Loving County,TX,30,25,120
Duplin County,NC,25530,57,44760
Grant County,OR,3207,54.1,5931
Socorro County,NM,10541,81.4,12945
Putnam County,IL,3108,67.6,4596
Cherokee County,TX,19696,50.1,39319
Crittenden County,AR,20657,59,34983
Harris County,TX,2693163,77.7,3467445
Marion County,MO,11638,53,21939
Clinton County,KY,4173,52.5,7951
Fulton County,KY,3543,75.4,4697
Trimble County,KY,3545,53.5,6628
White County,TN,11358,53.1,21387
Franklin County,WA,45073,69.6,64719
Laurens County,SC,25376,48.1,52715
Franklin County,ID,5886,61.9,9507
Cibola County,NM,17384,84.9,20474
Johnson County,KY,10606,61.4,17269
Wyandotte County,KS,86253,72.1,119705
McMinn County,TN,21085,49.7,42388
Mineral County,WV,13460,62.5,21550
Prince George's County,MD,624307,88.2,708013
Washington County,KY,5932,63.7,9311
Winkler County,TX,2889,50.9,5681
Fountain County,IN,7546,59,12798
Franklin County,IN,8621,49.2,17514
Dunn County,WI,20622,56.5,36503
Ouachita Parish,LA,65973,57.1,115634
Jefferson County,FL,8204,69,11888
Warren County,KY,47810,46.6,102521
Jefferson County,OR,14299,75.6,18922
Silver Bow County,MT,19899,71.5,27845
Monongalia County,WV,57878,65.5,88358
Herkimer County,NY,33967,69.6,48793
Deer Lodge County,MT,4941,62.6,7888
Yoakum County,TX,3269,55.7,5864
Dearborn County,IN,30249,78.3,38619
Prince George County,VA,19567,65.4,29911
Twin Falls County,ID,40367,64,63074
Adams County,IA,1960,68.8,2848
Wichita County,TX,65620,64.1,102442
Swisher County,TX,2880,51.7,5573
Lincoln County,GA,3581,55.6,6444
Allegany County,NY,19093,51.9,36817
Bradley County,TN,43690,51.7,84468
Prairie County,MT,394,44.9,877
Yakutat City and Borough,AK,419,87.8,477
Story County,IA,56024,69.1,81098
Logan County,OK,16342,44,37172
Archuleta County,CO,7868,68.2,11541
Essex County,NJ,527012,86.5,609578
Franklin County,TN,17240,50.9,33862
Lake County,CA,36431,71.8,50758
Fayette County,AL,5621,43.7,12869
Campbell County,SD,658,57.2,1150
Boyle County,KY,16320,67.7,24093
Newton County,TX,3282,30,10929
Lyon County,KS,17513,67.8,25834
Montgomery County,TN,117026,76.5,153054
Prince William County,VA,298727,86.8,344035
San Patricio County,TX,33871,68.9,49132
Tuscaloosa County,AL,87253,52.8,165385
Madison Parish,LA,4786,57.3,8347
Bibb County,AL,7607,42.6,17837
Cook County,MN,4131,89,4639
Wakulla County,FL,14328,53.6,26751
Moore County,NC,62572,78.9,79328
Arkansas County,AR,9338,69.3,13479
Somerset County,ME,30047,73.3,41017
Steele County,ND,859,58.2,1475
Carter County,MO,1957,42.5,4603
Henderson County,NC,70301,73.7,95451
Lamar County,GA,6389,42.3,15106
Sonoma County,CA,349398,87.6,398831
Polk County,MN,17167,72.6,23651
Trego County,KS,1067,46.2,2310
Winnebago County,WI,97185,71,136902
Bannock County,ID,43386,66.6,65104
Walthall County,MS,5599,50.6,11076
Crockett County,TN,6705,61.5,10908
Marion County,FL,200789,67.4,298065
Carson City,NV,34290,76.9,44568
Nassau County,FL,49786,70,71160
Pepin County,WI,3376,58.5,5768
Knox County,KY,11043,46.1,23951
Jackson County,OR,121818,69.3,175805
Dewey County,SD,3813,95,3658
Jim Wells County,TX,19894,67.6,29414
Riley County,KS,26749,43.1,62113
Knox County,OH,25805,53.5,48217
Lawrence County,MO,14074,49.1,28653
Saline County,AR,58464,62.1,94180
Walworth County,SD,2639,63.3,4169
Pike County,MO,6763,47.2,14324
Falls County,TX,7583,55.5,13671
Stillwater County,MT,4022,52.9,7607
Williamsburg County,SC,16617,68.7,24171
Malheur County,OR,14010,61.8,22654
Choctaw County,MS,2850,44.2,6455
Culpeper County,VA,23799,60.1,39586
Grundy County,TN,4051,38.4,10562
Lac qui Parle County,MN,3638,69.2,5259
Marshall County,OK,7389,56.7,13028
Centre County,PA,93327,67.5,138326
Pinellas County,FL,610912,74.5,819951
Bon Homme County,SD,3969,71.3,5563
Stewart County,GA,2119,35.9,5904
Hancock County,MS,20649,54.1,38170
Chariton County,MO,2806,48.9,5734
Hidalgo County,NM,2290,70.5,3250
Hart County,KY,6609,46,14360
Waller County,TX,20712,49.4,41921
Clinton County,PA,17221,55.7,30943
Sullivan County,TN,86029,67.1,128159
Cleveland County,AR,4054,65,6240
Caribou County,ID,2768,54.5,5079
Roanoke city,VA,38995,50.6,77060
Worth County,IA,3662,62.6,5851
Tuscarawas County,OH,39420,55.5,70996
Richland Parish,LA,8320,53.8,15459
Suffolk County,MA,560994,83.4,672370
St. Charles County,MO,226841,73.2,309726
Prince Edward County,VA,6790,35.4,19154
Coos County,NH,18837,71.1,26491
Loup County,NE,188,35.8,525
Craig County,OK,7454,67.1,11113
Monroe County,IA,3440,58,5936
Kimble County,TX,1807,50.8,3555
Washington County,MD,84726,71.6,118283
Thomas County,GA,20703,61,33932
Boone County,IA,15504,74.9,20698
Warren County,MO,14181,52.1,27228
Bates County,MO,6131,49.2,12452
Bexar County,TX,1263583,84.4,1497114
Barton County,KS,10823,54.9,19708
Dickinson County,KS,10144,71.5,14180
Polk County,TN,6867,50.4,13617
Anderson County,KY,12193,70.1,17402
Floyd County,TX,2439,58,4203
Marinette County,WI,20772,63.5,32737
Niobrara County,WY,744,38.3,1943
Rusk County,TX,20152,47.5,42382
Cameron Parish,LA,1245,22.9,5444
Huntingdon County,PA,23127,62.1,37218
Putnam County,FL,30278,51.5,58753
Hutchinson County,SD,3800,69.8,5444
Flagler County,FL,71302,74.3,95954
Alexandria city,VA,96467,73.8,130736
Clark County,ID,329,49.9,659
Cannon County,TN,4692,40.7,11528
Dickey County,ND,2435,66.2,3681
Suffolk city,VA,45399,64.7,70152
Hickman County,TN,10440,52.2,19996
DeSoto County,MS,94311,68.3,138050
Bristol Bay Borough,AK,866,95,687
Luzerne County,PA,194331,76.3,254741
Northampton County,PA,196157,80,245070
Toa Alta Municipio,PR,43242,74,58396
Sevier County,AR,7413,61.1,12141
Camden County,NJ,319752,81.5,392248
Washington County,KS,2785,66.6,4182
Lawrence County,PA,45577,66.5,68515
Oklahoma County,OK,485947,81.7,594822
Medina County,TX,26518,66.7,39775
Macon County,IL,52129,64.4,80909
Bonner County,ID,19322,52.6,36726
San Jacinto County,TX,9474,41.7,22737
Jackson County,MO,376378,69.9,538639
Camp County,TX,4925,51.1,9646
Jackson County,MN,4813,62.2,7741
Allen County,KY,8177,49.8,16412
Florence County,SC,71702,67.8,105779
Shenandoah County,VA,20583,59.7,34452
Douglas County,OR,57332,64,89613
Hinds County,MS,124313,70.4,176521
Butler County,IA,7838,69.8,11229
Big Horn County,WY,4473,50.3,8895
Meade County,KS,1610,53.2,3026
Collingsworth County,TX,964,44,2190
Park County,MT,9508,69.1,13759
Bee County,TX,15713,61,25742
Greene County,VA,8424,55.8,15109
Coal County,OK,2241,53.4,4193
Rapides Parish,LA,61344,62.8,97737
Hamilton County,IL,3145,49.6,6343
Morris County,NJ,350767,90.1,389368
Freestone County,TX,7418,48.7,15245
Adams County,IL,32745,64.6,50674
Columbia County,PA,38491,71.9,53571
Kankakee County,IL,53849,63.2,85161
Dyer County,TN,14668,51.8,28334
Hudson County,NJ,484182,90.4,535676
Borden County,TX,188,35.9,524
Sweet Grass County,MT,1482,49.9,2972
San Sebastian Municipio,PR,27037,92.5,29221
Sherman County,OR,1004,69.6,1443
McLean County,IL,97573,72.2,135072
Real County,TX,1684,58.4,2885
Cherokee County,GA,121116,61.5,196911
Nye County,NV,21481,55.4,38803
Marquette County,WI,7975,63.4,12577
Camas County,ID,467,54.2,862
Kossuth County,IA,7458,64.5,11554
Moore County,TX,9289,65,14290
Mason County,KY,8308,63.3,13123
Watonwan County,MN,5779,70,8254
Skagit County,WA,80364,79.2,101425
Lane County,OR,243826,78,312552
Lancaster County,SC,45056,58.6,76927
Woodward County,OK,7430,48.4,15345
Stevens County,KS,2020,51.2,3944
Macon County,MO,6070,52.2,11637
Liberty County,TX,34284,53.3,64361
Champaign County,IL,124158,72.9,170397
Boone County,KY,76736,77.5,99065
Noxubee County,MS,5441,69.2,7862
Aguadilla Municipio,PR,36793,89.5,41107
Bedford County,TN,20609,55.5,37108
Addison County,VT,24001,78.1,30721
Woodson County,KS,1307,53,2465
Nolan County,TX,5777,53.1,10885
Hickman County,KY,1597,44.6,3577
Page County,VA,8816,46,19177
Blanco County,TX,6568,66.9,9811
Dakota County,MN,262987,80.9,324966
LaMoure County,ND,1905,60,3173
Bronx County,NY,958073,89.6,1069544
Fremont County,ID,5705,57.8,9869
Metcalfe County,KY,3923,50.8,7717
Terrebonne Parish,LA,48126,58.2,82718
Mingo County,WV,9329,51.3,18179
Wayne County,MS,7554,49.4,15280
Massac County,IL,6588,61,10796
Crenshaw County,AL,4627,43.5,10636
Lavaca County,TX,8153,52.7,15467
Bay County,FL,91221,65.8,138722
Drew County,AR,8230,57.6,14284
Floyd County,IA,7882,65.2,12081
DeKalb County,AL,23598,43.4,54392
Kosciusko County,IN,31429,51.8,60648
Gates County,NC,6085,65.9,9230
Coosa County,AL,4297,48.2,8916
Montague County,TX,6750,43.9,15369
Oxford County,ME,37593,79.2,47450
Columbia County,GA,74552,63.5,117374
Polk County,FL,392070,69.3,565542
Hamilton County,NY,3547,93,3813
McKinley County,NM,55098,95,51282
Yancey County,NC,9293,62.9,14782
Ontario County,NY,68046,77.4,87942
Wise County,VA,17599,58.2,30248
Bryan County,OK,20471,55.6,36829
Tattnall County,GA,8058,40,20127
Kit Carson County,CO,2656,50,5312
Cleburne County,AR,10965,54.2,20222
Baker County,FL,10349,46.5,22239
Pulaski County,VA,14230,50.7,28087
Clay County,FL,110184,65.2,168898
Monroe County,AL,8724,53.3,16360
Ohio County,WV,26154,78.1,33476
Valencia County,NM,42350,72,58804
Hillsborough County,FL,861789,75.2,1146730
Leon County,FL,155242,65,238914
Nobles County,MN,12187,77.8,15671
Middlesex County,VA,6395,72,8888
Newberry County,SC,19364,64,30250
Grand County,CO,9494,72.4,13108
Clearfield County,PA,39186,60.4,64899
Chelan County,WA,49777,83.9,59294
Queen Anne's County,MD,31535,79.6,39619
Stone County,MS,8191,57,14382
Roberts County,SD,6938,94.4,7349
Naranjito Municipio,PR,19677,88.5,22236
Custer County,SD,4559,59.6,7646
Boone County,AR,13921,48.2,28890
Wilson County,KS,3690,56.9,6480
Dunn County,ND,1123,33.9,3314
Hettinger County,ND,985,52.6,1871
Clark County,WA,290989,77.9,373555
Dimmit County,TX,5140,71.2,7223
Pierce County,WA,550389,79.2,694527
Garfield County,OK,29560,65.1,45374
Rich County,UT,1228,70,1754
Grand Isle County,VT,5500,92.7,5933
San Saba County,TX,2355,48.6,4841
Okeechobee County,FL,18971,57.1,33207
Clay County,NC,6403,68.5,9352
Hampden County,MA,288949,78.8,366882
Logan County,OH,18965,54,35139
Lyon County,KY,4709,67,7030
Fort Bend County,TX,500761,84.9,590029
Wake County,NC,788712,92.9,849055
Marion County,OH,30816,60,51391
Dane County,WI,405860,93,436427
Stonewall County,TX,537,51.3,1047
Richmond County,NC,21232,61.5,34516
Forest County,WI,5312,73.5,7230
Barber County,KS,2074,61,3401
Cape May County,NJ,66843,87.8,76089
Fayette County,IA,10187,65.7,15515
Humphreys County,MS,4309,72.3,5964
Rock County,WI,104887,83.3,125952
Barbour County,AL,10877,55.5,19604
Montgomery County,KY,12252,56.8,21587
Washington County,FL,8186,40.1,20398
Oconee County,GA,20931,70.5,29670
Pickett County,TN,2244,53.6,4185
Mason County,IL,6914,65.4,10570
Wilbarger County,TX,6423,64.6,9948
Ford County,IL,6929,69.1,10026
Hertford County,NC,11319,58.7,19299
Liberty County,FL,2771,40.1,6902
Oktibbeha County,MS,23949,58.6,40847
Pulaski County,AR,215325,71.4,301549
Greene County,IL,5478,53.7,10200
Catoosa County,GA,29123,55.7,52313
Yankton County,SD,14300,79.4,18012
Fajardo Municipio,PR,21425,89.2,24023
Irion County,TX,2107,95,1190
Collier County,FL,264882,82.7,320147
Stanly County,NC,27669,56.1,49282
Jefferson County,OK,2481,54.5,4551
Graves County,KY,16504,58.3,28286
Walton County,FL,35794,60.7,58987
Gooding County,ID,6327,57,11100
Graham County,AZ,22965,80.6,28485
Outagamie County,WI,109849,76.3,144062
Brantley County,GA,4899,33.4,14683
Sabine Parish,LA,9099,49.5,18376
Marshall County,IN,19646,56.6,34705
St. Martin Parish,LA,20172,49.6,40686
Hopkins County,KY,22185,64.2,34558
White County,AR,33007,54.4,60632
Adair County,MO,11295,54.3,20809
Grundy County,IL,26775,70,38268
Traverse County,MN,1986,77,2579
Lowndes County,GA,44580,50,89086
Neosho County,KS,4252,35.2,12082
Rowan County,NC,64157,57.9,110729
Nacogdoches County,TX,27983,55.7,50203
Lancaster County,NE,190589,77.2,246901
Oneida County,NY,133124,74,179973
Union County,FL,5343,43.7,12225
Sunflower County,MS,12536,63.7,19671
Orange County,FL,889071,81.8,1087498
Madison County,MS,61596,77,79989
Larimer County,CO,224363,78,287767
Ketchikan Gateway Borough,AK,8349,76.7,10884
Clark County,WI,12493,50.9,24534
Limestone County,TX,8413,46,18276
Escambia County,FL,172368,68.4,252085
Apache County,AZ,61573,95,52462
Licking County,OH,89659,65.8,136224
Randolph County,AL,7517,41.9,17925
Madison County,IA,8159,66.1,12347
Adams County,WI,11279,64.9,17372
Shelby County,TX,8651,46.2,18710
Durham County,NC,228500,89.3,255829
Westmoreland County,VA,7932,54.4,14570
Cheatham County,TN,22572,71,31791
Clay County,AL,5484,51.9,10566
Garfield County,MT,245,25.4,966
Orange County,VA,15366,52.5,29281
Fayette County,TX,11955,59,20271
Brooke County,WV,10821,59.7,18116
Livingston County,IL,17242,61.7,27965
Cumberland County,TN,28250,56.4,50083
Perry County,TN,3222,51.3,6283
Radford city,VA,6163,38.6,15961
Kiowa County,CO,512,47.7,1074
Dallas County,IA,54218,79.9,67840
Oswego County,NY,64223,69.3,92646
Grady County,OK,20849,49,42575
Telfair County,GA,4533,34,13318
Chippewa County,MN,5983,66.8,8953
Tioga County,PA,18391,56.6,32510
Sebastian County,AR,60674,62.5,97154
Logan County,ND,705,49.2,1433
Towner County,ND,986,57.5,1715
Vilas County,WI,14490,78.5,18449
Talbot County,MD,25951,85.3,30414
Patillas Municipio,PR,11729,87.2,13449
Richland County,IL,7133,59.4,12011
Laramie County,WY,53472,69.8,76574
Lawrence County,AL,15183,58.8,25831
Saluda County,SC,6043,37.5,16103
Henrico County,VA,166335,64.8,256660
Pondera County,MT,3005,67.1,4478
Alleghany County,VA,5722,47.1,12146
Lewis County,ID,1980,65.8,3007
Barren County,KY,19327,57.1,33861
Mason County,WA,39009,72.6,53764
Decatur County,IN,12455,61.6,20235
Wyoming County,WV,10112,62.3,16232
Spotsylvania County,VA,56471,54.9,102782
Harding County,NM,365,65.8,555
Monroe County,IL,19886,73.6,27007
Goochland County,VA,14701,74.7,19672
Marathon County,WI,75425,71.9,104968
Comanche County,TX,5996,56.5,10616
Bolivar County,MS,16956,73.3,23145
Jefferson County,IL,17117,58.4,29288
Huntington County,IN,17854,62.4,28633
Koochiching County,MN,6932,68.9,10067
Yates County,NY,12526,64.5,19433
Union Parish,LA,9660,55.7,17352
Daggett County,UT,648,88,736
Hamblen County,TN,26601,53.2,50013
Tillamook County,OR,16704,76.1,21952
Armstrong County,TX,737,50.4,1461
Floyd County,GA,39745,52.4,75897
Nottoway County,VA,6316,51.5,12270
Uvalde County,TX,13249,67.7,19571
Allamakee County,IA,7121,68,10476
Roane County,TN,23087,53.1,43445
Robeson County,NC,53230,54.1,98425
Somerset County,MD,12514,58.8,21284
Grant Parish,LA,9482,53.6,17699
Jackson County,SD,1522,69.8,2179
Allegheny County,PA,814199,82.3,989472
Ventura County,CA,551938,84.3,655095
Garrard County,KY,8162,59.3,13759
Sabana Grande Municipio,PR,15813,89,17758
Decatur County,TN,4378,47.3,9251
Miami-Dade County,FL,2187345,95,2167261
Greene County,GA,9914,66.6,14883
Albany County,WY,20468,62.7,32627
Bibb County,GA,66709,57.5,116041
Jasper County,IN,15456,59.9,25822
Genesee County,NY,32217,70.5,45674
Linn County,OR,67885,67.3,100853
Washington County,NE,10629,67.6,15723
Caroline County,VA,12526,52.8,23718
Oldham County,KY,34109,68.4,49858
Greene County,NY,28072,71,39542
Owen County,KY,3857,45.3,8516
Washoe County,NV,283984,76.5,370989
Marin County,CA,200092,95,207495
Dauphin County,PA,168445,78.1,215697
Ceiba Municipio,PR,7680,84.6,9078
Clinch County,GA,2604,52.5,4958
Union County,PA,24767,66.9,37006
Hancock County,IL,8599,61.4,14009
Halifax County,NC,26508,67.3,39391
Delaware County,PA,400197,90.5,442236
Kendall County,TX,27016,74.1,36463
Braxton County,WV,6064,53.8,11279
Lewis County,WV,8792,70,12565
Throckmorton County,TX,588,48.5,1212
Cass County,MO,51888,64.4,80578
Crisp County,GA,9264,54.4,17021
Crawford County,IL,9207,61.5,14965
Cassia County,ID,9705,59,16443
Stephens County,GA,10581,52.6,20097
Shoshone County,ID,5471,53.4,10245
Cochise County,AZ,77350,78.2,98949
Alameda County,CA,1203832,90.4,1331230
Houston County,AL,44305,54.3,81594
Bulloch County,GA,25929,40.6,63851
Cumberland County,NJ,73583,64.5,114047
Lincoln County,MS,12616,48.2,26191
Jasper County,TX,12464,46,27090
Washington County,MS,21000,64.3,32676
Taliaferro County,GA,757,59.2,1278
Wayne County,TN,6659,47.9,13899
Wilson County,TX,24802,63.7,38908
Clinton County,NY,53474,80.9,66064
Rutherford County,NC,28199,52.8,53422
Daviess County,MO,2685,43.5,6177
Humboldt County,IA,4563,62.4,7318
Lincoln County,MT,6992,42.6,16403
Union County,TN,6849,43.7,15673
Chambers County,AL,10378,39.4,26341
Carroll County,MD,109967,83.3,132087
Chautauqua County,KS,1344,51.6,2606
Langlade County,WI,10021,64.9,15448
Hodgeman County,KS,798,57.7,1383
Moultrie County,IL,6119,56.5,10837
Walton County,GA,37554,52.5,71492
Putnam County,OH,15786,62.5,25257
Perry County,IN,10382,68.6,15136
Spalding County,GA,26146,51.2,51061
Chester County,TN,5967,44.1,13528
Gibson County,TN,22003,58.9,37332
Pawnee County,KS,3440,64.1,5364
Maunabo Municipio,PR,7021,82.6,8503
Echols County,GA,1178,39.8,2963
Hunterdon County,NJ,84292,83.7,100659
Dixie County,FL,5750,41.8,13753
Tazewell County,VA,17470,53.3,32756
Barton County,MO,3876,42.9,9029
Day County,SD,3411,81,4211
Lee County,VA,11594,60.7,19101
Sheboygan County,WI,66261,73.5,90111
Jackson County,AR,6378,47.7,13358
White Pine County,NV,4962,65,7638
Mineral County,NV,2635,72.8,3620
Highland County,VA,1277,67.3,1898
Florida Municipio,PR,8863,95,9149
Muhlenberg County,KY,15151,62.1,24386
Osceola County,FL,250115,87.7,285151
Ripley County,IN,13304,61.3,21705
Jefferson County,GA,7971,67.6,11799
Sedgwick County,CO,1149,63.6,1808
Lackawanna County,PA,138830,83.3,166709
Cedar County,IA,10281,70.7,14538
Sequoyah County,OK,16384,51.3,31927
Meigs County,TN,8295,83.5,9936
Claiborne County,TN,14725,57,25856
Madison County,KY,41759,56.6,73793
Franklin County,MA,45874,78.8,58196
Jersey County,IL,11583,66.9,17324
Harrison County,IN,19757,62.7,31495
St. James Parish,LA,10209,62.8,16267
Menifee County,KY,2820,53.2,5298
Humphreys County,TN,7515,51.5,14586
Hoke County,NC,21126,52.4,40282
Danville city,VA,13190,42,31397
Franklin County,VA,23469,51.5,45536
Colfax County,NM,7248,73.9,9803
Madison County,VA,6920,65.3,10590
Crow Wing County,MN,34827,68,51180
Tom Green County,TX,56445,62.1,90867
Washington County,NY,38489,77.3,49814
Tipton County,TN,23762,50.9,46689
Newton County,MO,14598,32.8,44498
Black Hawk County,IA,73584,71.6,102717
Vermilion Parish,LA,21818,49,44521
Chambers County,TX,19045,60.2,31657
Cross County,AR,8039,63.7,12613
Delaware County,OH,135366,87.3,155021
Coles County,IL,22258,53.6,41564
Hardy County,WV,7552,69,10951
Westmoreland County,PA,195273,68.4,285329
Madison County,MT,3832,52.6,7283
Coshocton County,OH,13925,50,27865
